appid,developers,publishers
20200,Perpetual FX Creative,Perpetual FX Creative
655370,Rusty Moyher,Wild Rooster
1732930,Campião Games,Campião Games
1355720,Odd Critter Games,Odd Critter Games
1139950,Unusual Games,Unusual Games
1469160,7Road,7Road
1659180,MAKSIM VOLKAU,MAKSIM VOLKAU
1968760,magnussoft,magnussoft
1178150,Growing Seeds,"CFK Co., Ltd."
320150,ONE MORE LEVEL,ONE MORE LEVEL
1026420,Pixelated Milk,"Pixelated Milk,gaming company"
485000,"Wise Wizard Games, LLC","Wise Wizard Games, LLC"
1620060,Beardlings LLC,Beardlings LLC
825930,Educational Games,Educational Games
1454010,Parange Project,Parange Project
22670,Team17 Digital Ltd,Team17 Digital Ltd
1330820,SCS Software,Ziggurat
346560,Lonely Troops,Lonely Troops
1097880,KENZsoft,Denpasoft
1362670,Necavare,Necavare
290870,Bretwalda Games,Bretwalda Games
575760,Volens Nolens Games,Volens Nolens Games
434030,IPACS,IPACS
810740,Falco Software,unknown
2073470,SGデベロッパー,SGデベロッパー
589250,PseudoGames,PseudoGames
677880,Zero One,Zero One
1294780,Mens Sana Interactive,Mens Sana Interactive
1342850,Delta Arcade,Delta Arcade
1177420,GameUncle,GameUncle
793990,NedoStudio,NedoStudio
1727670,lonch.me,lonch.me
955490,TensionSplice,TensionSplice
552350,Warped Tales,Warped Tales
42500,Dark Water Studios Ltd,Instinct Software Ltd.
1195610,"FAYEZ ALRASHEEDI,WADE AIZOUKY,KHALED ALRASHEEDI",THE MARCH OF KWF
1095380,Team Spikkeee,Spikkeee
1158910,Century Game,Century Game
1194940,Lame Jam,Lame Jam
262150,Tomoaki Sugeno,eigoMANGA
1192900,Black Beach Studio,Black Beach Studio
866150,"Garage Games,Jan Hess",Garage Games
231330,The Farm 51,THQ Nordic
1056520,Chroma Field Games,Chroma Field Games
897820,Nerial,Devolver Digital
658970,GoldFire Studios,GoldFire Studios
1777550,玫瑰工作室,玫瑰工作室
552520,"Ubisoft Montreal,Red Storm,Ubisoft Shanghai,Ubisoft Toronto,Ubisoft Kiev",Ubisoft
718350,Boogygames Studios,Boogygames Studios
433450,Arc System Works,Arc System Works
1709450,Elephant Games,Big Fish Games
1431470,Stegalosaurus Game Development,Stegalosaurus Game Development
1794920,Uintani,Uintani
1959480,"Righteous Weasel Games,Ignatios Prouctions LLC","Sedoc LLC,GrabTheGames"
763550,Team Sämst,Team Sämst
1445370,Hello Friend LLC,Hello Friend LLC
464230,RunServer,RunServer
1293830,Playground Games,Xbox Game Studios
1509640,VikingWarrior,VikingWarrior
1135380,折凳工作室,折凳工作室
1944730,KanakStudio,JanduSoft
1144900,Julian Henley,Julian Henley
306350,"Gremlin Interactive,The Software Refinery",Funbox Media Ltd
1684530,Peaksel,Peaksel
1557480,"aNCHOR Inc.,fuzz, Inc.",aNCHOR Inc.
1128520,SparkGames,SparkGames
12140,Remedy Entertainment,Rockstar Games
1647430,PICTOLOGI,PICTOLOGI
1845050,Berry Berry Niceu,Berry Berry Niceu
1163340,"Avalon Digital,Cyril Jarnot",Avalon Digital
1608620,Ballistic Machine,Ballistic Machine
541570,Portable Moose,Portable Moose
1119070,Soiree Games,Soiree Games
1292520,Woodsy Studio,Woodsy Studio
1467330,Miniced,Miniced
1624600,"Madman Games,RattlerCreed",Madman Games
870000,Retrover Games,Retrover Games
1621490,FireArmGames,FireArmGames
768060,"Tero Lunkka,BlackThug",Tero Lunkka
1746130,Debonosu Works,Shiravune
1281400,Team Good Knight,Doublethink Games
372890,Cateia Games,Cateia Games
1023420,Flying Panjandrum / ふらいんぐパンジャンドラム,Flying Panjandrum / ふらいんぐパンジャンドラム
1141880,Aligned Games,Aligned Games
1022840,PixQuake,HH-Games
652160,Nucleax,Nucleax
968580,Boogygames Studios,Boogygames Studios
1131550,Seacoxx,Sekai Project
1729790,Tudor Sandru,Tudor Sandru
368080,Kiro'o Games,Dear Villagers
572510,Undercoders,JanduSoft
1225870,Slippy Floor,Slippy Floor
1232510,Teleporter Realities Inc.,Teleporter Realities Inc.
1066890,Reiza Studios,Reiza Studios
817370,Marching Simulator,Marching Simulator
1662060,SimulaM,PlayWay S.A
457140,Klei Entertainment,Klei Entertainment
1774810,LGT SIA,LGT SIA
1886290,Pinblend Studios,Pinblend Studios
1514360,"Gemdrops, Inc.","Gemdrops, Inc.,Clouded Leopard Entertainment Inc."
1374280,Goadstool,Goadstool
863490,NukGames,NukGames
396640,Davioware and Quazi,Davioware and Quazi
726020,Quantized Bit,Quantized Bit
424060,Brainwashing games,Brainwashing games
1943590,unknown,unknown
1995240,Pablo Picazo,Pablo Picazo
514870,Heavy Iron Studios,"Heavy Iron Studios, Inc."
548290,SOFTON ENTERTAINMENT,SOFTON ENTERTAINMENT
695420,Pretty Bat Games,Pretty Bat Games
1241110,NewProjekt,NewProjekt
587490,Marcin Mikołajczyk,Back To Basics Gaming
546050,"Sonic Team,Bitbaboon",SEGA
301700,Cobra Mobile,KISS ltd
2004200,seagull home,Pickup One
1588070,Reforged Group,Reforged Group
730310,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
242530,"Abstraction Games,The Bitmap Brothers",Rebellion
1372570,Purple Cable,Purple Cable
1345820,WanadevStudio,WanadevStudio
420270,Mozg Labs,Mozg Labs
435790,Four Circle Interactive,Curve Games
926310,豆干叠叠木,豆干叠叠木
788020,MOGA Creative,MOGA Creative
467400,Joe Chisholm,Joe Chisholm
856730,Artur Rezende,PROATIV GAMES
1106950,Stegalosaurus Game Development,Stegalosaurus Game Development
1274570,Straight Back Games,Straight Back Games
1470790,Canuck Play Inc,Canuck Play Inc
1087620,Yima VLG.,Yima VLG.
1348430,GoesSoft,GoesSoft
1547580,Triority Interactive Novels,Triority Interactive Novels
1253680,Unfinished Pixel,Unfinished Pixel
1881210,Royal Flush Studioz,Royal Flush Studioz
497670,Gamera Interactive,Gamera Interactive
850040,"Aleksi Rajamäki,Matias Rajamäki",Codera
7940,Infinity Ward,Activision
741770,ElZzap Software,ElZzap Software
110630,PomPom Games,PomPom Games
572330,Ezhaac Studio,Plug In Digital
1683240,RecordRecordsGame,kazakovstudios
567150,Creobit,8Floor
700880,Interplay,Interplay
1413090,My Oldschool Console,My Oldschool Console
1610860,Big Village Games Ltd,Big Village Games Ltd
1302840,VRANI inc.,VRANI inc.
1305570,"POWER UNIT,APOLLOSOFT",APOLLOSOFT
1609730,Sayan,Sayan
717980,祥,祥
1417450,Andorf Games,Andorf Games
778900,Toolkitz Games,Toolkitz Games
1004200,Academtech LLC,Animar Games
1506230,Bisquit Play,Bisquit Play
638230,thatgamecompany,Annapurna Interactive
1839080,"R.E.M. Studios,NullReferenceException",R.E.M. Studios
907460,meokigame,meokigame
1307070,Pixel Racers,Pixel Racers
1221640,Riftpoint Entertainment,Painful Smile
703120,BigGame Studio,BigGame Publishing
328710,Bloodwolf Studio,Bloodwolf Studio
926140,Delve Interactive,Delve Interactive
1700630,有杕之杜,有杕之杜
845290,LUXO Interactive,LUK KUS SOFT
739720,Lionsart,Lionsart
1776800,Furyface,Furyface
873970,Last Day Of Work,Last Day Of Work
1238130,0,0
1593100,"HugePixel, Diedemor studio",HugePixel
1365900,Unikgame,Unikware
962950,GuGong,GuGong
778120,Kevin Nguyen,Kevin Nguyen
1187910,Mifos Games,Mifos Games
763350,Dribble Games,Dribble Games
1537410,Eponymouse,Eponymouse
761910,Team Jolly Roger,"Team Jolly Roger,Advanced Interactive Gaming"
975470,Cracked Heads Games,Headup
990900,Vivid Helix,Vivid Helix
372770,Three Prong Productions,Three Prong Productions
462580,Rionix,Buka Entertainment
926870,Joe Chatfield,Joe Chatfield
1966960,unknown,unknown
848720,S. Khasanov,S. Khasanov
1343040,Lange Studios LLC,Lange Studios LLC
519140,Stanislaw Truchowski,TurnVex
1987030,Metthink,"Metthink,Metthink Productions"
821260,Indie Light,Indie Light
1565720,Tomas Daugela,Tomas Daugela
748490,Nihon Falcom,"XSEED Games,Marvelous USA, Inc."
545000,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
1623720,INFINITE BRIDGE,INFINITE BRIDGE
544220,Suomi-Peli,Suomi-Peli
338190,Retrific,Retrific
1375270,Igor Neiman,Igor Neiman
551680,Strong Cube,Strong Cube
1874510,Leturs Labs,Leturs Labs
1693780,Dodo Digital,Dodo Digital
1466930,Bandai Namco Studios Inc.,Phoenixx Inc.
1748070,NikiGames,NikiGames
1755120,XDEVS LTD,XDEVS LTD
964920,Space Driver,Space Driver
1085570,Cheesemaster Games,Cheesemaster Games
1528020,Split Light Studio,Split Light Studio
1796350,Adaptive Game,Adaptive Game
1444320,LetMeowt Games LLC,LetMeowt Games LLC
906050,RewindApp,RewindApp
351910,Funatics Software,Daedalic Entertainment
513480,Windybeard,Windybeard
2010700,LuCapy Studio,LuCapy Studio
1089830,Milestone S.r.l.,Milestone S.r.l.
403070,Sapphire Dragon Productions,Sapphire Dragon Productions
811440,Albash Bokhari,Albash Bokhari
491010,TERNOX,TERNOX
681290,"zelun,tio_jolo",zelun
1233460,Ampersand Game Studios,Ampersand Game Studios
1688630,unknown,unknown
350530,Visual Imagination Software GbR,rondomedia GmbH
2026860,Virtual Video,Virtual Video
1481840,Nicholas Evelson,Nicholas Evelson
1444890,Rabotiagi games,Rabotiagi games
1217340,True Seria,True Seria
1478660,unknown,unknown
872340,DCF Studios,DCF STUDIOS
523680,Pehesse,Self
439460,FragOut,"Games Box,SIG Publishing"
1308880,Antab Studio,Merge Games
296650,kunst-stoff GmbH,kunst-stoff GmbH
1549420,CHARON,PGN Games
418270,Mass Creation,Mass Creation
390220,Anvil-Soft,"Anvil-Soft,Plug In Digital"
549860,Kinmoku,Kinmoku
612380,Dozen Minds OU,Dozen Minds OU
1559340,Error 404,CodeBreaker Studios
1632640,Neatan Games,Piece Of Voxel
350480,Red Dwarf Games,Red Dwarf Games
220900,Owlchemy Labs,Owlchemy Labs
1768260,"JOZGamer,RFL Art,Hatus Quemuel",JOZGames
539090,"SynapticSwitch, LLC","SynapticSwitch, LLC,LeadTech, LLC"
908500,liuguowang,liuguowang
1852760,DIG Publishing,DIG Publishing
809890,SEGA,SEGA
570770,"上海烛龙信息科技有限公司,Aurogon Shanghai",北京网元圣唐娱乐科技有限公司
448500,Blake Fix,Blake Fix
854160,neonboxgames,neonboxgames
1359170,Riba Plus,Riba Plus
897010,Elephant Games,Big Fish Games
1607870,Luiz Otávio da Silva,Luiz Otávio da Silva
553260,Jujubee S.A.,Fulqrum Publishing
453130,Wee Free Studio,Wee Free Studio
1508890,Lieon Games,Sinnera
3010,Techland,Techland
1297480,Christian Slater,Christian Slater
1217830,Suits & Sandals,Suits & Sandals
628830,Kitsune Games,Kitsune Games
686440,MDickie,MDickie
521710,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
1986310,水狗工作室,水狗工作室
1259660,Atelier ATIC,Atelier ATIC
108200,Days of Wonder,"Days of Wonder,Asmodee Digital"
614150,2Frogs Software,2Frogs Software
1570340,Fowl Play Studios,Fowl Play Studios
304970,"SolidFace Technology Inc.,Oscar L.",SolidFace Technology Inc.
1630940,SHIBO GAMES,SHIBO GAMES
878520,GameHouse,GameHouse
1927300,PanGuoJun,PanGuoJun
340630,Immunity Studios,Immunity Studios
704310,Erik Brunnström,Erik Brunström
619150,Luden.io,Luden.io
1373890,Piloto Studio,Piloto Studio
1869200,AX-GAME,Fun Quarter
392030,Katatema,PLAYISM
605850,Reality Reflection,Reality Reflection
441670,Immortal Game Studio,Immortal Game Studio
962150,From Nothing Game Studios,From Nothing Game Studios
50990,Big Fish Games,Big Fish Games
648510,Choice of Games,Choice of Games
1071070,Claudius Keigfron,Claudius Keigfron
2011540,BT Games,BT Games
1761740,Unusual Meaning,Unusual Meaning
538700,dynamicsoulworks,OtakuMaker.com
1564150,Unseen Interactive,Unseen Interactive
726870,Michael Gentry,Michael Gentry
1074390,Rob Scikōr,Scikōr Games
1554780,Hont,Hont
1065750,Luminescence Interactive,Luminescence Interactive
714780,Google Inc.,Google Inc.
1321040,CupcakeTime Team,Phoenix_co
1204930,"Kodansha,Kodansha VR Lab",Komodo
1588760,Atomic Elbow,Atomic Elbow
924740,Sky Haubrich,Pyxton Studios
416340,Realore,Qumaron
242610,800 North,800 North
1613340,unknown,unknown
1168980,The Two Ravens,The Two Ravens
1277340,torumees.games,torumees.games
1233610,Hollow World Games llc,Hollow World Games llc
302610,"Ian MacLarty,Jon Kerney",Ian MacLarty
1638730,Rockus Games,Rockus Games
1484150,William at Oxford,William at Oxford
1850710,unknown,unknown
922520,WJLEGAME,WJLEGAME
1743770,unknown,unknown
1157200,"Mark Graham Johnson,Marikat Software Corp",Marikat Software Corp
1862100,Deborah Vellozo,Deborah Vellozo
2022020,Top-Down Games,Hede
1099400,星飞游戏,星飞游戏
1604610,Raw Orange Studios Limited,Raw Orange Studios Limited
503060,Orneon,Big Fish Games
1275970,HMM,Dragom
847490,Synthetic Games,Synthetic Games
1101580,MogWallop Games,TinyHat Studios
201010,Spiderweb Software,Spiderweb Software
837610,Idea Factory,Ghostlight LTD
1029870,"Threaks,GameHouse",GameHouse
205690,Brandon Brizzi,Brandon Brizzi
632240,REDspace,REDspace
1774150,unknown,unknown
898910,"Baby Duka,Schubell IT",Baby Duka
1042930,Master Technologies,Master Technologies
109500,Pixelante Game Studios,Pixelante Game Studios
539290,Sanuk Games,Nacon
1603600,Vanaheim Team,Vanaheim Team
489100,enko,full beast creative
1310620,Nilz,Nilz
740450,Falkrus,Falkrus
1646090,Lunacy Labs Ltd.,Lunacy Labs Ltd.
448670,OOO Gameprom,App Business Ventures LLC
1956110,Prairie Game,Prairie Game
542740,EnsenaSoft,EnsenaSoft
687980,Samu,Samu
612120,Duplicator Studio,Duplicator Studio
1259000,Team Teal,Team Teal
1380060,Tate Multimedia,Tate Multimedia
814560,FlowersFX,FlowersFX
701100,Citor3,Citor3
1407060,Aiaz Marx,Aiaz Marx
1495860,"Wide Right Interactive,Mark Zorn,Kurt Wojda",Wide Right Interactive
1126970,"Tradosoft,Michiel Pater",Tradosoft
1639530,Uladzislau Basin,Uladzislau Basin
1995420,EnroAndOz,EnroAndOz
358000,On The Level Game Studios,On The Level Game Studios
1856080,FakeBamboo,FakeBamboo
239430,Toxic Games,Toxic Games
961490,GRASSHOPPER MANUFACTURE INC.,Marvelous Inc.
363500,"Gregory Avery-Weir,Melissa Avery-Weir",Future Proof Games
286750,Enlight Software Limited,"Retroism,Enlight Software Limited"
