appid,metacritic_score,metacritic_url
20200,0.0,unknown
655370,0.0,unknown
1732930,0.0,unknown
1355720,0.0,unknown
1139950,0.0,unknown
1469160,0.0,unknown
1659180,0.0,unknown
1968760,0.0,unknown
1178150,0.0,unknown
320150,0.0,unknown
1026420,62.0,https://www.metacritic.com/game/pc/warsaw?ftag=MCD-06-10aaa1f
485000,0.0,unknown
1620060,0.0,unknown
825930,0.0,unknown
1454010,0.0,unknown
22670,64.0,https://www.metacritic.com/game/pc/alien-breed-3-descent?ftag=MCD-06-10aaa1f
1330820,0.0,unknown
346560,0.0,unknown
1097880,0.0,unknown
1362670,0.0,unknown
290870,0.0,unknown
575760,0.0,unknown
434030,0.0,unknown
810740,0.0,unknown
2073470,0.0,unknown
589250,0.0,unknown
677880,0.0,unknown
1294780,0.0,unknown
1342850,0.0,unknown
1177420,0.0,unknown
793990,0.0,unknown
1727670,0.0,unknown
955490,0.0,unknown
552350,0.0,unknown
42500,0.0,unknown
1195610,0.0,unknown
1095380,0.0,unknown
1158910,0.0,unknown
1194940,0.0,unknown
262150,0.0,unknown
1192900,0.0,unknown
866150,0.0,unknown
231330,53.0,https://www.metacritic.com/game/pc/deadfall-adventures?ftag=MCD-06-10aaa1f
1056520,0.0,unknown
897820,84.0,https://www.metacritic.com/game/pc/reigns-game-of-thrones?ftag=MCD-06-10aaa1f
658970,0.0,unknown
1777550,0.0,unknown
552520,0.0,unknown
718350,0.0,unknown
433450,0.0,unknown
1709450,0.0,unknown
1431470,0.0,unknown
1794920,0.0,unknown
1959480,0.0,unknown
763550,0.0,unknown
1445370,0.0,unknown
464230,0.0,unknown
1293830,0.0,unknown
1509640,0.0,unknown
1135380,0.0,unknown
1944730,0.0,unknown
1144900,0.0,unknown
306350,0.0,unknown
1684530,0.0,unknown
1557480,0.0,unknown
1128520,0.0,unknown
12140,89.0,https://www.metacritic.com/game/pc/max-payne?ftag=MCD-06-10aaa1f
1647430,0.0,unknown
1845050,0.0,unknown
1163340,0.0,unknown
1608620,0.0,unknown
541570,0.0,unknown
1119070,0.0,unknown
1292520,0.0,unknown
1467330,0.0,unknown
1624600,0.0,unknown
870000,0.0,unknown
1621490,0.0,unknown
768060,0.0,unknown
1746130,0.0,unknown
1281400,0.0,unknown
372890,0.0,unknown
1023420,0.0,unknown
1141880,0.0,unknown
1022840,0.0,unknown
652160,0.0,unknown
968580,0.0,unknown
1131550,0.0,unknown
1729790,0.0,unknown
368080,70.0,https://www.metacritic.com/game/pc/aurion-legacy-of-the-kori-odan?ftag=MCD-06-10aaa1f
572510,0.0,unknown
1225870,0.0,unknown
1232510,0.0,unknown
1066890,0.0,unknown
817370,0.0,unknown
1662060,0.0,unknown
457140,86.0,https://www.metacritic.com/game/pc/oxygen-not-included?ftag=MCD-06-10aaa1f
1774810,0.0,unknown
1886290,0.0,unknown
1514360,0.0,unknown
1374280,0.0,unknown
863490,0.0,unknown
396640,0.0,unknown
726020,0.0,unknown
424060,0.0,unknown
1943590,0.0,unknown
1995240,0.0,unknown
514870,0.0,unknown
548290,0.0,unknown
695420,0.0,unknown
1241110,0.0,unknown
587490,0.0,unknown
546050,0.0,unknown
301700,0.0,unknown
2004200,0.0,unknown
1588070,0.0,unknown
730310,0.0,unknown
242530,40.0,http://www.metacritic.com/game/pc/the-chaos-engine
1372570,0.0,unknown
1345820,87.0,https://www.metacritic.com/game/pc/ragnarock?ftag=MCD-06-10aaa1f
420270,0.0,unknown
435790,0.0,unknown
926310,0.0,unknown
788020,0.0,unknown
467400,0.0,unknown
856730,0.0,unknown
1106950,0.0,unknown
1274570,0.0,unknown
1470790,0.0,unknown
1087620,0.0,unknown
1348430,0.0,unknown
1547580,0.0,unknown
1253680,0.0,unknown
1881210,0.0,unknown
497670,0.0,unknown
850040,0.0,unknown
7940,92.0,https://www.metacritic.com/game/pc/call-of-duty-4-modern-warfare?ftag=MCD-06-10aaa1f
741770,0.0,unknown
110630,0.0,unknown
572330,0.0,unknown
1683240,0.0,unknown
567150,0.0,unknown
700880,0.0,unknown
1413090,0.0,unknown
1610860,0.0,unknown
1302840,0.0,unknown
1305570,0.0,unknown
1609730,0.0,unknown
717980,0.0,unknown
1417450,0.0,unknown
778900,0.0,unknown
1004200,0.0,unknown
1506230,0.0,unknown
638230,0.0,unknown
1839080,0.0,unknown
907460,0.0,unknown
1307070,0.0,unknown
1221640,0.0,unknown
703120,0.0,unknown
328710,0.0,unknown
926140,0.0,unknown
1700630,0.0,unknown
845290,0.0,unknown
739720,0.0,unknown
1776800,0.0,unknown
873970,0.0,unknown
1238130,0.0,unknown
1593100,0.0,unknown
1365900,0.0,unknown
962950,0.0,unknown
778120,0.0,unknown
1187910,0.0,unknown
763350,0.0,unknown
1537410,0.0,unknown
761910,76.0,https://www.metacritic.com/game/pc/worbital?ftag=MCD-06-10aaa1f
975470,51.0,https://www.metacritic.com/game/pc/silver-chains?ftag=MCD-06-10aaa1f
990900,0.0,unknown
372770,0.0,unknown
462580,0.0,unknown
926870,0.0,unknown
1966960,0.0,unknown
848720,0.0,unknown
1343040,0.0,unknown
519140,0.0,unknown
1987030,0.0,unknown
821260,49.0,https://www.metacritic.com/game/pc/light?ftag=MCD-06-10aaa1f
1565720,0.0,unknown
748490,81.0,https://www.metacritic.com/game/pc/the-legend-of-heroes-trails-of-cold-steel-ii?ftag=MCD-06-10aaa1f
545000,0.0,unknown
1623720,0.0,unknown
544220,0.0,unknown
338190,0.0,unknown
1375270,0.0,unknown
551680,0.0,unknown
1874510,0.0,unknown
1693780,0.0,unknown
1466930,0.0,unknown
1748070,0.0,unknown
1755120,0.0,unknown
964920,0.0,unknown
1085570,0.0,unknown
1528020,0.0,unknown
1796350,0.0,unknown
1444320,0.0,unknown
906050,0.0,unknown
351910,69.0,https://www.metacritic.com/game/pc/valhalla-hills?ftag=MCD-06-10aaa1f
513480,0.0,unknown
2010700,0.0,unknown
