appid,windows,mac,linux
20200,True,False,False
655370,True,True,False
1732930,True,False,False
1355720,True,True,True
1139950,True,True,False
1469160,True,False,False
1659180,True,False,False
1968760,True,False,False
1178150,True,False,False
320150,True,True,True
1026420,True,False,False
485000,True,True,False
1620060,True,False,False
825930,True,True,True
1454010,True,False,False
22670,True,False,False
1330820,True,False,False
346560,True,True,True
1097880,True,False,False
1362670,True,False,False
290870,True,True,True
575760,True,False,False
434030,True,True,True
810740,True,False,False
2073470,True,False,False
589250,True,False,False
677880,True,False,False
1294780,True,True,False
1342850,True,False,False
1177420,True,True,False
793990,True,False,False
1727670,True,False,False
955490,True,False,False
552350,True,True,True
42500,True,False,False
1195610,True,False,False
1095380,True,True,True
1158910,True,False,False
1194940,True,False,False
262150,True,True,True
1192900,True,False,False
866150,True,False,False
231330,True,False,True
1056520,True,True,True
897820,True,True,True
658970,True,True,False
1777550,True,False,False
552520,True,False,False
718350,True,False,False
433450,True,False,False
1709450,True,False,False
1431470,True,False,True
1794920,True,False,False
1959480,True,False,False
763550,True,False,False
1445370,True,False,False
464230,True,True,True
1293830,True,False,False
1509640,True,False,False
1135380,True,False,False
1944730,True,False,False
1144900,True,False,False
306350,True,False,False
1684530,True,True,False
1557480,True,False,False
1128520,True,False,False
12140,True,False,False
1647430,True,False,False
1845050,True,True,True
1163340,True,True,False
1608620,True,False,False
541570,True,True,True
1119070,True,False,False
1292520,True,False,False
1467330,True,False,True
1624600,True,False,False
870000,True,True,False
1621490,True,False,False
768060,True,False,False
1746130,True,False,False
1281400,True,False,True
372890,True,False,False
1023420,True,False,False
1141880,True,False,False
1022840,True,False,False
652160,True,False,False
968580,True,False,False
1131550,True,False,False
1729790,True,False,False
368080,True,False,False
572510,True,False,False
1225870,True,False,False
1232510,True,False,False
1066890,True,False,False
817370,True,False,False
1662060,True,False,False
457140,True,True,True
1774810,True,False,False
1886290,True,False,False
1514360,True,False,False
1374280,True,False,False
863490,True,False,False
396640,True,False,False
726020,True,True,True
424060,True,False,False
1943590,True,False,False
1995240,True,False,False
514870,True,False,False
548290,True,False,False
695420,True,True,True
1241110,True,False,False
587490,True,False,False
546050,True,False,False
301700,True,False,False
2004200,True,False,False
1588070,True,False,False
730310,True,False,False
242530,True,True,True
1372570,True,True,True
1345820,True,False,False
420270,True,True,True
435790,True,False,False
926310,True,True,False
788020,True,False,False
467400,True,False,False
856730,True,False,False
1106950,True,False,True
1274570,True,True,False
1470790,True,False,False
1087620,True,False,False
1348430,True,True,True
1547580,True,True,True
1253680,True,False,False
1881210,True,False,False
497670,True,True,True
850040,True,False,False
7940,True,True,False
741770,True,True,False
110630,True,False,False
572330,True,False,False
1683240,True,False,False
567150,True,True,False
700880,True,True,True
1413090,True,False,False
1610860,True,False,False
1302840,True,False,False
1305570,True,False,False
1609730,True,False,False
717980,True,False,False
1417450,True,False,False
778900,True,False,False
1004200,True,False,False
1506230,True,False,False
638230,True,False,False
1839080,True,False,False
907460,True,False,False
1307070,True,False,False
1221640,True,False,False
703120,True,False,False
328710,True,True,False
926140,True,True,True
1700630,True,False,False
845290,True,False,False
739720,True,False,False
1776800,True,False,False
873970,True,False,False
1238130,True,False,False
1593100,True,False,False
1365900,True,False,False
962950,True,False,False
778120,True,False,False
1187910,True,False,False
763350,True,True,False
1537410,True,False,False
761910,True,True,False
975470,True,False,False
990900,True,False,True
372770,True,False,True
462580,True,False,False
926870,True,False,False
1966960,True,False,False
848720,True,False,False
1343040,True,False,True
519140,True,False,False
1987030,True,False,False
821260,True,False,False
1565720,True,False,False
748490,True,False,False
545000,True,False,False
1623720,True,False,False
544220,True,False,False
338190,True,False,False
1375270,True,False,False
551680,True,False,False
1874510,True,False,False
1693780,True,False,False
1466930,True,False,False
1748070,True,False,False
1755120,True,False,False
964920,True,False,False
1085570,True,False,False
1528020,True,False,False
1796350,True,False,False
1444320,True,False,False
906050,True,False,False
351910,True,True,True
513480,True,False,False
2010700,True,False,False
1089830,True,False,False
403070,True,False,False
811440,True,True,False
491010,True,False,True
681290,True,False,False
1233460,True,True,False
1688630,True,False,False
350530,True,False,False
2026860,True,False,False
1481840,True,True,False
1444890,True,False,False
1217340,True,False,False
1478660,True,False,False
872340,True,False,False
523680,True,False,False
439460,True,False,False
1308880,True,False,False
296650,True,True,False
1549420,True,False,False
418270,True,True,True
390220,True,False,False
549860,True,True,True
612380,True,True,False
1559340,True,False,False
1632640,True,False,False
350480,True,True,False
220900,True,True,True
1768260,True,False,False
539090,True,False,False
908500,True,False,False
1852760,True,False,False
809890,True,False,False
570770,True,False,False
448500,True,False,False
854160,True,False,False
1359170,True,False,False
897010,True,False,False
1607870,True,False,False
553260,True,True,True
453130,True,True,True
1508890,True,False,False
3010,True,False,False
1297480,True,False,False
1217830,True,False,False
628830,True,True,True
686440,True,True,False
521710,True,False,False
1986310,True,True,False
1259660,True,True,False
108200,True,True,False
614150,True,False,False
1570340,True,False,False
304970,True,False,False
1630940,True,False,False
878520,True,True,False
1927300,True,False,False
340630,True,True,True
704310,True,False,False
619150,True,True,True
1373890,True,False,False
1869200,True,False,False
392030,True,False,False
605850,True,False,False
441670,True,True,True
962150,True,True,True
50990,True,False,False
648510,True,True,True
1071070,True,False,False
2011540,True,False,False
1761740,True,True,True
538700,True,True,True
1564150,True,True,True
726870,True,True,False
1074390,True,False,False
1554780,True,False,False
1065750,True,True,False
714780,True,False,False
1321040,True,True,True
1204930,True,False,False
1588760,True,False,False
924740,True,False,False
416340,True,False,False
242610,True,False,False
1613340,True,False,False
1168980,True,False,False
1277340,True,False,False
1233610,True,False,False
302610,True,True,True
1638730,True,False,False
1484150,True,False,False
1850710,True,False,False
922520,True,False,False
1743770,True,False,False
1157200,True,False,False
1862100,True,True,True
2022020,True,True,True
1099400,True,True,False
1604610,True,False,False
503060,True,False,False
1275970,True,False,False
847490,True,False,False
1101580,True,False,False
201010,True,False,False
837610,True,False,False
1029870,True,True,False
205690,True,True,False
632240,True,False,False
1774150,True,False,False
898910,True,False,True
1042930,True,False,False
109500,True,False,False
539290,True,False,False
1603600,True,False,False
489100,True,False,False
1310620,True,False,False
740450,True,True,True
1646090,True,False,True
448670,True,False,True
1956110,True,False,False
542740,True,False,False
687980,True,False,False
612120,True,False,False
1259000,True,True,True
1380060,True,False,False
814560,True,False,False
701100,True,False,False
1407060,True,False,False
1495860,True,True,False
1126970,True,False,True
1639530,True,False,False
1995420,True,False,False
358000,True,False,False
1856080,True,False,False
239430,True,True,True
961490,True,False,False
363500,True,False,False
286750,True,False,False
388080,True,False,False
1565630,True,False,False
1751800,True,False,False
925360,True,False,False
482300,True,False,False
964910,True,False,False
16130,True,False,False
1716950,True,False,True
411530,True,False,False
237430,True,True,True
1843720,True,False,False
485120,True,False,False
1907570,True,False,False
528670,True,False,False
417540,True,False,False
1496530,True,False,False
465070,True,False,False
448010,True,True,True
782630,True,False,False
1162170,True,False,False
1941850,True,False,False
1467740,True,False,False
1212930,True,True,False
1580990,True,False,False
1975670,True,True,False
1808480,True,False,False
818070,True,False,False
1271190,True,True,False
944590,True,True,False
1299400,True,True,False
958090,True,False,False
607040,True,False,False
1301850,True,False,False
299380,True,False,False
1626950,True,False,False
342260,True,True,False
1684920,True,False,False
888010,True,True,False
538950,True,False,False
293520,True,False,False
502940,True,False,False
1395560,True,False,False
1038680,True,False,False
291690,True,False,False
1246200,True,False,False
1581010,True,False,False
1690250,True,False,False
653210,True,False,False
267360,True,False,False
1694430,True,True,False
1886850,True,False,False
1378490,True,False,False
499910,True,True,True
1863170,True,False,False
1644840,True,False,False
1422880,True,False,False
12460,True,False,False
410320,True,False,False
1345440,True,False,True
757600,True,False,False
952000,True,False,False
1735930,True,True,True
336670,True,False,False
1828410,True,False,False
733420,True,False,False
1528770,True,False,False
542260,True,True,True
369560,True,True,True
1494400,True,False,False
394850,True,True,True
953900,True,True,True
299480,True,False,True
1696230,True,False,False
1530670,True,False,False
1260220,True,False,False
1503530,True,False,False
750960,True,False,False
1898130,True,False,False
523210,True,True,True
1278170,True,False,False
950400,True,False,False
766570,True,False,False
1694450,True,True,True
1343220,True,False,True
1672700,True,False,False
1860120,True,False,False
1338020,True,False,False
1213420,True,True,False
1385820,True,False,False
848460,True,False,True
735650,True,False,False
1048100,True,False,False
345700,True,False,False
1873830,True,False,False
65600,True,False,False
674250,True,False,False
439250,True,False,False
1788650,True,False,False
1239710,True,False,False
1275060,True,True,False
940350,True,False,False
868060,True,False,False
1284550,True,False,False
924670,True,False,False
598590,True,False,False
620050,True,False,False
211208,True,True,True
454330,True,True,False
1723050,True,False,False
763230,True,True,True
959710,True,True,False
1140060,True,False,False
1644920,True,False,False
957070,True,False,False
1270780,True,True,False
1702210,True,True,True
1302270,True,False,False
974930,True,False,False
1017480,True,False,False
676030,True,False,False
1728410,True,False,False
1165280,True,False,True
1095120,True,True,True
818390,True,False,False
1245470,True,False,False
839770,True,True,False
1874660,True,False,False
562640,True,False,False
360840,True,True,True
1007890,True,False,False
1030840,True,False,False
1234450,True,False,False
890130,True,True,True
1908060,True,False,False
1093880,True,False,False
1896980,True,False,False
368730,True,True,True
1041300,True,False,False
572620,True,False,False
1581500,True,True,True
318260,True,True,True
821880,True,True,True
886360,True,False,False
1408480,True,False,False
696760,True,False,False
780210,True,True,False
1713640,True,False,False
451600,True,True,True
1109350,True,False,False
781240,True,False,False
929570,True,False,False
841830,True,False,False
1165460,True,False,False
485980,True,False,False
679400,True,True,False
1514480,True,False,False
1368750,True,False,False
1121310,True,False,False
1453640,True,False,False
1389360,True,False,False
429480,True,False,False
1368400,True,False,False
1005050,True,True,False
529040,True,False,False
694070,True,True,True
1311210,True,True,False
1453660,True,False,False
587580,True,False,False
294440,True,True,False
1309290,True,False,False
364980,True,False,False
269250,True,True,True
1228870,True,False,False
633660,True,False,False
1274280,True,False,False
1791610,True,False,False
1127500,True,True,False
508650,True,True,False
358700,True,False,False
656740,True,False,False
1047950,True,False,False
1076100,True,False,False
648150,True,False,False
630900,True,True,True
883160,True,False,False
783840,True,True,False
1487140,True,True,False
1696810,True,False,False
1178000,True,False,False
1138580,True,True,False
416090,True,True,False
595360,True,False,False
1581240,True,False,True
1751990,True,False,False
1445500,True,False,False
1315240,True,False,False
404530,True,False,True
1137650,True,False,False
461550,False,True,False
1408380,True,False,False
1049690,True,False,False
612840,True,False,False
1463120,True,True,True
243890,True,True,False
428410,True,False,False
988110,True,False,False
1921760,True,False,False
791370,True,True,True
622460,True,True,False
883130,True,True,False
913570,True,False,False
1930230,True,False,False
351490,True,True,True
378360,True,False,False
1273450,True,False,True
1059660,True,False,False
820830,True,False,False
668290,True,True,True
646100,True,False,False
1382310,True,True,False
1944970,True,True,True
1534240,True,False,False
1339310,True,True,True
575800,True,True,False
1968280,True,False,False
634120,True,False,False
1843230,True,False,False
1434550,True,False,False
316260,True,False,False
604040,True,False,False
1050170,True,False,False
1546120,True,False,True
762850,True,False,False
1221560,True,False,False
1939600,True,False,False
1652800,True,False,False
437530,True,True,False
1583650,True,False,False
526130,True,False,False
1651880,True,False,False
311120,True,False,False
410670,True,True,True
1131410,True,True,True
1417890,True,True,True
2006770,True,False,False
1583840,True,False,False
516940,True,False,False
1304320,True,False,False
1471960,True,True,False
1350540,True,False,False
1512910,True,False,False
511110,True,False,False
1578750,True,False,False
1674300,True,False,True
465750,True,True,False
1053660,True,False,False
605490,True,False,False
1253320,True,False,False
448960,True,False,False
1457150,True,False,False
1129660,True,True,True
1550750,True,False,False
1787520,True,False,False
292180,True,True,True
1095140,True,False,False
973410,True,True,True
1564660,True,True,False
1563100,True,False,False
1853200,True,False,True
1953220,True,False,False
1094250,True,False,False
1979720,True,False,False
536660,True,False,False
362920,True,True,False
1113940,True,True,True
915760,True,False,False
1682030,True,False,False
416840,True,True,True
529130,True,True,True
1730670,True,True,True
1535270,True,False,False
1836310,True,False,False
1945980,True,True,True
836440,True,True,True
796580,True,False,False
1830050,True,False,True
691680,True,False,False
1798310,True,False,False
2058120,True,False,False
399670,True,True,True
1410110,True,False,False
1841060,True,False,False
584170,True,False,False
559210,True,True,True
227160,True,True,True
1331390,True,False,False
816490,True,True,False
1576880,True,False,False
1527910,True,True,False
1876060,True,False,False
336230,True,True,False
1029160,True,False,False
1315070,True,False,False
1353870,True,False,False
975710,True,True,True
980940,True,False,False
800510,True,False,False
1094010,True,False,False
1692900,True,False,False
1730160,True,False,False
34282,True,True,True
714820,True,False,False
1794300,True,False,False
1297010,True,False,False
40800,True,True,True
