appid,average_playtime_forever,average_playtime_two_weeks,median_playtime_forever,median_playtime_two_weeks
20200,0.0,0.0,0.0,0.0
655370,0.0,0.0,0.0,0.0
1732930,0.0,0.0,0.0,0.0
1355720,0.0,0.0,0.0,0.0
1139950,0.0,0.0,0.0,0.0
1469160,0.0,0.0,0.0,0.0
1659180,0.0,0.0,0.0,0.0
1968760,0.0,0.0,0.0,0.0
1178150,0.0,0.0,0.0,0.0
320150,703.0,0.0,782.0,0.0
1026420,67.0,0.0,93.0,0.0
485000,224.0,0.0,257.0,0.0
1620060,0.0,0.0,0.0,0.0
825930,11.0,0.0,11.0,0.0
1454010,0.0,0.0,0.0,0.0
22670,44.0,0.0,24.0,0.0
1330820,0.0,0.0,0.0,0.0
346560,280.0,0.0,303.0,0.0
1097880,34.0,0.0,30.0,0.0
1362670,0.0,0.0,0.0,0.0
290870,0.0,0.0,0.0,0.0
575760,337.0,0.0,289.0,0.0
434030,127.0,0.0,127.0,0.0
810740,0.0,0.0,0.0,0.0
2073470,0.0,0.0,0.0,0.0
589250,0.0,0.0,0.0,0.0
677880,0.0,0.0,0.0,0.0
1294780,0.0,0.0,0.0,0.0
1342850,0.0,0.0,0.0,0.0
1177420,0.0,0.0,0.0,0.0
793990,0.0,0.0,0.0,0.0
1727670,0.0,0.0,0.0,0.0
955490,0.0,0.0,0.0,0.0
552350,218.0,0.0,218.0,0.0
42500,739.0,0.0,1108.0,0.0
1195610,0.0,0.0,0.0,0.0
1095380,0.0,0.0,0.0,0.0
1158910,0.0,0.0,0.0,0.0
1194940,0.0,0.0,0.0,0.0
262150,425.0,0.0,244.0,0.0
1192900,48.0,0.0,48.0,0.0
866150,0.0,0.0,0.0,0.0
231330,324.0,0.0,431.0,0.0
1056520,0.0,0.0,0.0,0.0
897820,83.0,0.0,76.0,0.0
658970,2.0,0.0,2.0,0.0
1777550,0.0,0.0,0.0,0.0
552520,1756.0,223.0,1258.0,311.0
718350,0.0,0.0,0.0,0.0
433450,0.0,0.0,0.0,0.0
1709450,0.0,0.0,0.0,0.0
1431470,0.0,0.0,0.0,0.0
1794920,0.0,0.0,0.0,0.0
1959480,0.0,0.0,0.0,0.0
763550,0.0,0.0,0.0,0.0
1445370,0.0,0.0,0.0,0.0
464230,340.0,0.0,340.0,0.0
1293830,2518.0,230.0,1021.0,130.0
1509640,0.0,0.0,0.0,0.0
1135380,0.0,0.0,0.0,0.0
1944730,0.0,0.0,0.0,0.0
1144900,0.0,0.0,0.0,0.0
306350,183.0,0.0,196.0,0.0
1684530,0.0,0.0,0.0,0.0
1557480,670.0,0.0,670.0,0.0
1128520,0.0,0.0,0.0,0.0
